"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：乌贝胶囊
汉语拼音：Wubei Jiaonang",【成份】海螵蛸(去壳)、浙贝母、陈皮油,,【功能主治】制酸止疡，收敛止血。用于胃痛泛酸。
"【药品名称】
通用名称：乌贝散
汉语拼音：wu bei san",【成份】海螵蛸(去壳)、浙贝母、陈皮油。,,【功能主治】制酸止痛。用于肝胃不和所致的胃脘疼痛、泛吐酸水、嘈杂似饥。
"【药品名称】
通用名称：乌甘散
汉语拼音：Wu Gan San",【成份】海螵蛸(去硬壳)、甘草浸膏。,,【功能主治】制酸止痛。用于胃痛泛酸。
"【药品名称】
通用名称：乌鸡白凤口服液
汉语拼音：wu ji bai feng kou fu ye",【成份】同乌鸡白凤丸。,【性状】本品为棕褐色液体，久置可有微量沉淀；气香，味甜、微苦。,【功能主治】补气养血，调经止带。用于心慌气短，疲乏无力，月经不调，腰腿酸软，白带量多。
"【药品名称】
通用名称：胃痛丸
汉语拼音：Weitong Wan",【成份】沉香、木香、丁香、乳香（醋炒）、姜半夏、香附（醋炒)、枳壳（麸炒)、延胡索(醋炒)、五灵脂（醋炒)、当归、红花、六神曲(炒)、砂仁、豆蔻、猪牙皂、乌药、高良姜、肉桂。辅料为百草霜、蜂蜜。,【性状】本品为黑色光亮的水丸，除去外衣后，显黄棕色；气微香，味微苦。,【功能主治】舒肝和胃，理气止痛。用于胃部疼痛，肝郁气滞，胸胁胀满，恶心呕吐。
"【药品名称】
通用名称：胃脘舒颗粒（冲剂）
汉语拼音：wei wan shu ke li(chong ji)",,,【功能主治】益气阴，健脾胃，消痞满。用于中虚气滞所致胃脘痞满，嗳气纳差，时有隐痛。
"【药品名称】
通用名称：胃欣舒胶囊
汉语拼音：wei xin shu jiao nang",【成份】大黄、海螵蛸、浙贝母、颠茄浸膏、甘草浸膏、维生素U、,【性状】本品为胶囊剂，内容物为黄棕色至棕褐色的颗粒和粉末； 气清香，味微涩、略甜。,【功能主治】清热，制酸，止痛。用于胃肠实热所致的胃痛胃胀，胃酸过多及慢性浅表性胃炎见上述证候者。
"【药品名称】
通用名称：胃炎宁冲剂
汉语拼音：Weiyanning Chongji",【成份】檀香、木香、细辛、肉桂、赤小豆、鸡内金、甘草、山楂、乌梅、薏苡仁、,【性状】本品为棕色的颗粒；味酸甜、微苦。,【功能主治】温中醒脾，和胃降逆，芳香化浊，消导化食。用于萎缩性胃炎，浅表胃炎及其他性胃炎，胃窦炎及伤食湿重引起的消化不良等症。
"【药品名称】
通用名称：胃炎宁颗粒（冲剂）
汉语拼音：wei yan ning ke li(chong ji)",,,【功能主治】温中醒脾，和胃降逆，芳香化浊，消导化食。用于伤食湿重引起的胃脘痛，泛酸，恶心及消化不良。
"【药品名称】
通用名称：胃疡灵颗粒
汉语拼音：Weiyangling Keli",【成份】黄芪、白芍、炙甘草、桂枝、大枣、生姜。,【性状】本品为棕黄色的颗粒或长方块；气香，味甜微辛。,【功能主治】温中益气，缓急止痛。用于脘腹胀痛，喜温，喜按，食少，乏力，适用于慢性胃炎有上述症状者。
"【药品名称】
通用名称：胃药胶囊
汉语拼音：Weiyao Jiaonang",【成份】延胡索(醋制)、枯矾、海螵蛸(漂)、鸡蛋壳(炒)、青木香、珍珠母(煅)。,【性状】本品为胶囊剂，内容物为红、黄、白、棕四种彩色小颗粒；气香，味苦,【功能主治】制酸止痛。用于胃酸过多，胃痛。
"【药品名称】
通用名称：温补肾阳酒
汉语拼音：Wenbu Shenyang Jiu",【成份】肉桂、肉苁蓉、淫羊霍、杜仲、菟丝子、熟地黄、白芍、何首乌、枸杞子、山茱萸、人参、党参、山药、郁金、红花、防风、益母草、牛膝、沉香、丁香、五加皮,【性状】本品为褐红色澄清的液体；气清香，味甜、微辛。,【功能主治】温补肾阳，补益气血。适用于肾虚引起的头晕目眩，腰膝酸软，畏寒肢冷，神疲气少。
"【药品名称】
通用名称：温经颗粒
汉语拼音：wen jing ke li",【成份】党参、黄芪、茯苓、白术(炒)、附子(制)、肉桂、干姜、吴茱萸(制)、沉香、郁金、厚朴(姜)。辅料为糊精、蔗糖。,【性状】本品为黄至黄棕色颗粒，味甜，微苦。,【功能主治】益气健脾，温经散寒。用于寒湿凝滞所致的痛经，症见少腹冷痛，得热痛减，经色暗淡，带下量多。
"【药品名称】
通用名称：温经养血合剂
汉语拼音：Wenjing Yangxue Heji",【成份】吴茱萸、当归、川芎、白芍、阿胶、牡丹皮、党参、桂枝、麦冬、半夏（姜制）、甘草、生姜。,【性状】本品为棕黑色的澄清液体；气香，味苦、微甜。,【功能主治】温经散寒，养血祛瘀。用于冲任虚寒、瘀血阻滞引起的月经不调，少腹冷痛，痛经。
"【药品名称】
通用名称：温六散
汉语拼音：Wenliu San",【成份】滑石(飞)、干姜、甘草。,【性状】本品为米黄色的粉末；味微甜、辛。,【功能主治】祛暑散寒，除呕止泻。用于暑月受寒，呕吐泄泻。
"【药品名称】
通用名称：温脾止泻丸
汉语拼音：Wenpi Zhixie Wan",【成份】人参、白术、茯苓、甘草、木香、青皮、炮姜、黄连、熟地黄、山药、肉桂(去粗皮)、附子、泽泻、,【性状】本品为黄褐色的大蜜丸，味甜，微苦、辛。,【功能主治】温中散寒，健脾止泻。用于脾寒阳虚，中宫失运，泄泻无度，样如米泔。
"【药品名称】
通用名称：温胃阿亚然及片
汉语拼音：wen wei a ya ran ji pian",,,【功能主治】清除胃中异常黑胆质，消肿开胃。用于胃满疼痛，食欲减少。
"【药品名称】
通用名称：温胃止痛膏
汉语拼音：Wenwei Zhitong Gao",【成份】白术（炒）、吴茱萸、丁香、肉桂、当归、川芎、延胡索、厚朴,【性状】本品为淡黄色的片状橡胶膏剂；气芳香。,【功能主治】健脾温阳，行气止痛。用于脾胃虚寒所致的胃脘疼痛，腹胀，呃逆嗳气，形寒肢冷的辅助治疗。
"【药品名称】
通用名称：温中镇痛丸
汉语拼音：Wenzhong Zhentong Wan",【成份】丁香、乳香、木香、没药、小茴香、冰片、沉香、香附、檀香、降香、广藿香、麝香、,【性状】 本中为黑褐色的小蜜丸或大蜜丸；气芳香。,【功能主治】行气解郁，散寒止痛。用于气滞胃寒，胸胃刺痛，腹胀疼痛。
"【药品名称】
通用名称：卧龙散
汉语拼音：Wolong San",【成份】麝香、蟾酥、冰片、闹羊花、猪牙皂、荆芥穗、灯心草(炭)、,【性状】本品为黑色的粉末；气芳香。,【功能主治】　开窍、通关。用于中暑中恶，突然昏厥以及小儿惊厥。
"【药品名称】
通用名称：乌贝颗粒
汉语拼音：Wubei Keli",【成份】海螵蛸(去壳)、浙贝母,,【功能主治】制酸止痛。用于胃痛泛酸。
"【药品名称】
通用名称：乌发丸
汉语拼音：Wufa Wan",【成份】地黄、制何首乌、墨旱莲、女贞子(酒蒸)、黑芝麻、黑豆(微炒)。,【性状】本品为棕褐色的大蜜丸；气微，味甜、微酸。,【功能主治】滋阴健脑，凉血乌发。用于青少年白发症。
"【药品名称】
通用名称：乌甘散（胃溃疡散）
汉语拼音：Wugan San",【成份】甘草浸膏、150g、海螵蛸（去硬壳）、850g、,【性状】本品为淡黄色的粉末；气微香，味甘?,【功能主治】制酸止痛。用于胃痛泛酸。
"【药品名称】
通用名称：乌鸡白凤丸（大蜜丸）
汉语拼音：wu ji bai feng wan(da mi wan)",【成份】乌鸡(去毛爪肠)、鹿角胶、鳖甲(制)、牡蛎(煅)、桑螵蛸、人参、黄芪、当归、白芍、香附(醋制)、天冬、甘草、熟地黄、地黄、川芎、银柴胡、丹参、山药、芡实(炒)、鹿角霜。辅料为,【性状】本品为黑褐色至黑色的大蜜丸；味甜、微苦。,【功能主治】补气养血，调经止带。用于心慌气短，疲乏无力，月经不调，腰腿酸软，白带量多。
"【药品名称】
通用名称：乌鸡白凤丸（水蜜丸）
汉语拼音：wu ji bai feng wan(shui mi wan)",【成份】乌鸡（去毛爪肠）、鹿角胶、鳖甲(制)、牡蛎（煅）、桑螵蛸、人参、黄芪、当归、白芍、香附（醋制）、天冬、甘草、地黄、熟地黄、川芎、银柴胡、丹参、山药、芡实（炒）、鹿角霜。,【性状】本品为黑褐色至黑色的水蜜丸；味甜、微苦。,【功能主治】同上。
"【药品名称】
通用名称：乌鸡地黄胶囊
汉语拼音：wu ji di huang jiao nang",【成份】乌鸡、熟地黄、龟甲胶、阿胶、山茱萸、太子参、黄芪、当归、枸杞子、白芍、茺蔚子、地黄、丹参、砂仁,,【功能主治】滋肾柔肝。用于缓解更年期妇女肾阴虚所致头晕，腰膝酸软，神疲体倦，两目干涩的辅助用药。
"【药品名称】
通用名称：乌鸡桂圆养血口服液
汉语拼音：wu ji gui yuan yang xie kou fu ye",【成份】乌鸡粉、龙眼肉、枸杞子、大枣。,,【功能主治】滋补肝肾，益气养血。用于肝肾不足、气血两虚所致的腰膝酸软，头晕耳鸣，心悸气短，食欲不振，四肢乏力。
"【药品名称】
通用名称：乌鸡洋参胶囊
汉语拼音：Wuji Yangshen Jiaonang",【成份】乌鸡粉、西洋参、胡萝卜素、维生素E、维生素C。,【性状】本品为胶囊剂，内容物为灰黄色至黄褐色的粉末；气特异。,【功能主治】补气养阴，滋补肝肾。用于气血两虚或肝肾阴虚者，症见神疲乏力，气短懒言。面色萎黄，目涩咽干，腰膝酸软，头晕耳鸣。
"【药品名称】
通用名称：乌金口服液
汉语拼音：Wujin Koufuye",【成份】乌金石,【性状】本品为棕色的澄清液体；味甜。,【功能主治】　温阳散寒，健脾益胃，活血化瘀。用于治疗胃寒疼痛，脾虚泻泄及脾不统血所致的出血，胃及十二指肠溃疡、出血、气血瘀滞所引起的高血压等症。
"【药品名称】
通用名称：乌金丸
汉语拼音：Wujin Wan",【成份】益母草、小茴香、川芎、补骨脂、吴茱萸、当归、艾叶(炭)、白芍、莪术、蒲黄、百草霜、三棱、香附、熟地黄、延胡萦、木香、,【性状】本品为黑色的大蜜丸；味甜、微苦。,【功能主治】　调经化瘀。用于气郁结滞，胸胁刺痛，产后血瘀，小腹疼痛，五心烦热，面黄肌瘦。
"【药品名称】
通用名称：乌苓苁蓉合剂
汉语拼音：wu ling cong rong he ji",【成份】制何首乌、茯苓、肉苁蓉、菟丝子、金樱子、桑椹、女贞子、豨莶草、忍冬藤。,【性状】本品为红棕色的液体，久置有少量沉淀，味甜、微苦。,【功能主治】补肝肾，益脾胃，安心神。用于肝肾不足所致的头晕目眩，耳鸣健忘，腰膝酸软，心悸气短，四肢无力。
"【药品名称】
通用名称：乌头酊
汉语拼音：Wutou Ding",,【性状】本品为棕黄色的液体。,【功能主治】止痛药。用于神经痛，非神经痛。
"【药品名称】
通用名称：乌阳补心糖浆
汉语拼音：Wuyang Buxin Tangjiang",【成份】何首乌、淫羊藿、黄芪、甘草、干姜、大枣、锁阳、维生素、蔗糖、甘油磷酸钠、苯甲酸钠、香精、制成,,【功能主治】补脾益肾，宁心安神。用于脾肾两虚，心神失养所致失眠，多梦，食少乏力，腰膝酸软。
"【药品名称】
通用名称：蜈蚣追风膏
汉语拼音：Wugong Zhuifeng Gao",【成份】蜈蚣、黄连、乳香、玄参、大黄、白芷、独活、蓖麻仁、冰片、当归、猪牙皂、防风、密陀僧、五倍子、没药、生草乌、薄荷油、羌活、生川乌、地黄、全蝎、黄柏、地骨皮、穿山甲、冬青油、盐酸苯海拉明、,【性状】本品为黄色成黄棕色的片状橡胶膏；气芳香。,【功能主治】拔毒生肌，消肿止痛。用于毒疮恶疮，痈疽发背，鼠疮瘰疠，乳痈乳炎。
"【药品名称】
通用名称：五更太平丸
汉语拼音：Wugeng Taiping Wan",【成份】天冬、麦冬、知母、川贝母、款冬花、苦杏仁、当归、黄连、阿胶(蛤粉烫)、地黄、熟地黄、蒲黄、京墨、桔梗、薄荷、,【性状】本品为黑色的大蜜丸；味苦。,【功能主治】　清热养阴，润肺止咳。用于肺热痰喘，虚劳久咳。
"【药品名称】
通用名称：五花茶颗粒
汉语拼音：Wu Hua Cha Ke Li",【成份】金银花、鸡蛋花、木棉花、槐花、葛花、甘草。,,【功能主治】清热，凉血，解毒。用于湿热蕴积肌肤所致湿疹。
"【药品名称】
通用名称：五积散酒
汉语拼音：Wujisan Jiu",【成份】茯苓、当归、白芍、桔梗、苍术、白芷、厚朴、陈皮、枳壳、麻黄、半夏、桂枝、甘草、川芎、干姜、,【性状】本品为棕黄色的澄清液体；味甜、微苦。,【功能主治】散寒解表，祛风燥湿，消积止痛。用于风寒湿痹，头痛身痛，腰膝冷痛。
"【药品名称】
通用名称：五加参蛤蚧精
汉语拼音：Wujiashen Gejiejing",【成份】刺五加、蛤蚧(去鳞、头、足)、肉苁蓉、人参、人参露。,【性状】本品为棕黄色的澄明液体；气香，味甜、微苦。,【功能主治】补肺气、益精血。用于元气亏损，肺虚咳嗽，病后衰弱。
"【药品名称】
通用名称：五加参精
汉语拼音：Wujiashen Jing",【成份】刺五加清膏175g、蜂蜜、200g、,【性状】本品为红褐色的澄清液体；味甘、苦、微辛。,【功能主治】补气健脾，安神益智。用于脾肺气虚症，以及病后体虚，精力不足。
"【药品名称】
通用名称：五加更年片
汉语拼音：Wujia Gengnian Pian",【成份】刺五加、当归、赤芍、牡丹皮,,【功能主治】补肾益脾，养血安神。用于脾肾两虚型更年期综合征。
"【药品名称】
通用名称：五加片
汉语拼音：Wujia Pian",【成份】倒卵叶五加根、藤五加根。,【性状】本品为糖衣片，除去糖衣后显棕色；气微，味微苦。,【功能主治】益气健脾，补肾安神。用于脾肾阳虚，体虚乏力，食欲不振，腰膝酸痛，失眠多梦。
"【药品名称】
通用名称：五瘕丸
汉语拼音：Wujia Wan",【成份】三棱、莪术、当归、赤芍、延胡索、槟榔、陈皮、青皮、枳壳、枳实、五灵脂、山楂、干漆(炭)、干姜、木香、吴茱萸(甘草炙)、使君子(去壳)、雷丸、牵牛子、莱菔子、牛膝、六神曲、红曲、大黄、硇砂、芒硝、大腹皮、,【性状】本品为黄褐色的水丸；气微，味苦。,【功能主治】　消积开郁，舒肝调气，活血通经。用于各种积聚，痞块胸膈满闷，两胁攻心作痛，妇女月经不调，闭经。
"【药品名称】
通用名称：五淋化石丸
汉语拼音： Wulin Huashi Wan",【成份】广金钱草、鸡内金、泽泻沙牛、琥珀黄芪石韦、海金沙、车前子甘草、延胡索、,【性状】本品为棕褐色至黑色的浓缩水蜜丸；味微苦、甘。,【功能主治】通淋利湿，化石止痛。用于淋证，癃闭，尿路感染，尿路结石，前列腺炎，膀胱炎，肾盂肾炎，乳糜尿。
"【药品名称】
通用名称：五灵丸
汉语拼音：wu ling wan",【成份】五味子、灵芝、丹参、柴胡。,,【功能主治】护肝降酶，舒肝理气，活血化瘀。适用于治疗病毒性肝炎，尤其是慢性肝炎。
"【药品名称】
通用名称：乌鸡白凤丸（小蜜丸）
汉语拼音：wu ji bai feng wan(xiao mi wan)",【成份】同上。,【性状】本品为黑褐色至黑色的小蜜丸；味甜、微苦。,【功能主治】同上。
"【药品名称】
通用名称：乌鸡桂圆补酒
汉语拼音：Wuji Guiyuan Bujiu",【成份】龙眼肉、乌鸡、香加皮、黄芪、玉竹、当归、,【性状】本品为棕红色的液体；气香，味辛、微甜。,【功能主治】养阴益心脾，和血通络。用于心悸怔忡，健忘失眠，月经不调，筋骨痹痛。
"【药品名称】
通用名称：乌鸡丸
汉语拼音：Wuji Wan",【成份】乌鸡（去毛、爪、肠）、生晒参、白术（麸炒）、当归、川芎、杜仲（炒）、地黄、北沙参、艾叶、石斛、菟丝子、柴胡等26味。,【性状】本品为黑色的小蜜丸或大蜜丸；味甜、微苦。,【功能主治】补气养血，调经止带。用于妇女气血两亏，体瘦内热，月经量少、后错，带下量多。
"【药品名称】
通用名称：乌鸡养血糖浆
汉语拼音：Wuji Yangxue Tangjiang",【成份】乌鸡（去毛爪肠）、女贞子、巴戟天、菟丝子、熟地黄、当归、川芎、白芍、黄芪（炙）、党参、山药、茯苓、续断、香附、甘草（炙）、蔗糖、苯甲酸钠,,【功能主治】益气养血，健脾补肾，调经止带。用于脾肾两虚，月经量少，月经后期，带下病。
"【药品名称】
通用名称：乌金片
汉语拼音： Wujin Pian",【成份】蒲黄、百草霜、益母草、熟地黄、艾叶(炭)、三棱、延胡索、香附、白芍、补骨脂、吴茱萸、川芎、莪术、木香、当归、小茴香油、,【性状】本品为棕褐色片;气香，味苦。,【功能主治】调经化瘀。用于气郁结滞，胸胁刺痛，产后瘀血，小腹疼痛，五心烦热，面黄肌瘦。
"【药品名称】
通用名称：乌金止痛丸
汉语拼音：Wujin Zhitong Wan",【成份】大黄、当归、香附(酒醋炒)、苏木、益母草、僵蚕(姜汁制)、黑豆、乌药、五灵脂、延胡索(醋蒸)、莪术、桃仁(去衣，炒)、红花、木香、乳香、肉桂、没药、,【性状】本品为黑棕色的大蜜丸；气香，味苦、涩。,【功能主治】活血化瘀，行气止痛。用于产后瘀血不清，腹痛腰痛，胸胁刺痛。
"【药品名称】
通用名称：乌梅人丹
汉语拼音：Wumei Rendan",【成份】甘草、薄荷脑、薄荷素油、乌梅干浸膏、维生素、枸橼酸、香精、、糖精、、蔗糖、淀粉、阿拉伯胶、山梨酸、苯甲酸钠,,【功能主治】生津解渴，清凉润喉。用于口臭、口干、咽痛等，也可用作咽炎和扁桃体炎的辅助治疗。
"【药品名称】
通用名称：乌头注射液
汉语拼音：Wutou Zhusheye",【成份】生川乌、生草乌、,【性状】本品为淡黄色的澄明液体。,【功能主治】镇静，止痛。用于胃癌、肝癌等晚期癌症的疼痛。
"【药品名称】
通用名称：乌枣健脑安神片
汉语拼音：wu zao jian nao an shen pian",【成份】制何首乌、石菖蒲、补骨脂、五味子、酸枣仁(炒)、女贞子(炒)、蜂花粉、丹参。,,【功能主治】补养心肾，健脑安神。用于神经衰弱引起的头昏、头晕，失眠，健忘。
"【药品名称】
通用名称：五参安神口服液
汉语拼音：wu shen an shen kou fu ye",,,【功能主治】益气安神。用于病后或年老体弱心脾两虚所致的神倦乏力，睡眠不安，食欲不振，动则汗出，心悸。
"【药品名称】
通用名称：五海丸
汉语拼音：Wuhai Wan",【成份】海带、海藻、昆布、陈皮、槟榔、浙贝母、蛤壳、桔梗、夏枯草、,【性状】本品为棕褐色的大蜜丸；味微咸、微涩。,【功能主治】软坚，散结，理气。用于瘿瘰初起。
"【药品名称】
通用名称：五花茶颗粒（冲剂）
汉语拼音：Wuhuacha Keli",【成份】金银花、480g、鸡蛋花、240g、木棉花、240g、槐花、120g、葛花、120g、甘草、48g、,【性状】本品为棕色的颗粒：气微香，味甘。,【功能主治】清热，凉血，解毒。用于湿热蕴积肌肤所致湿疹。
"【药品名称】
通用名称：五积丸
汉语拼音：Wuji Wan",【成份】茯苓、当归、白芍、桔梗、苍术、白芷、厚朴、陈皮、枳壳、麻黄、法半夏、桂枝、甘草、川芎、干姜、,【性状】本品为黄棕色的水丸；味微甜而苦、辛。,【功能主治】　发表、温中、消积。用于外感风寒或内伤生冷，头痛、身痛、腹痛、胸满、厌食、呕{恶}以及月经不调等症。
"【药品名称】
通用名称：五加参归芪精
汉语拼音：Wujiashen Guiqijing",【成份】刺五加、黄芪、当归。,【性状】本品为橙色粘稠澄清液体，味甜。,【功能主治】扶正固本，补气固表，补血养血。用于久病衰弱，失眠自汗，腰腿酸软，气短心悸。
"【药品名称】
通用名称：五加参颗粒
汉语拼音：Wujiashen Keli",【成份】刺五加。,【性状】本品为淡棕色块状冲剂；味甜、微苦。,【功能主治】益气健脾，补肾安神。用于脾肾阳虚，体虚乏力、神经衰弱，食欲不振，腰膝酸痛，失眠多梦。
"【药品名称】
通用名称：五加皮酒
汉语拼音：Wujiapi Jiu",【成份】五加皮、青风藤、当归、川芎、海风藤、木瓜、威灵仙、白芷、白术、红花、牛膝、菊花、党参、姜黄、独活、川乌、草乌、玉竹、豆蔻(去壳)、檀香、肉豆蔻、丁香、砂仁、木香、陈皮、肉桂、,【性状】本品为桔黄色澄清液体；气芳香，味甘、微苦。?,【功能主治】　舒筋活血，除湿祛风。用于风湿痹痛，手足痉挛，四肢麻木，腰膝酸痛。
"【药品名称】
通用名称：五加茸血口服液
汉语拼音：wujiarongxuekoufuye","【成份】刺五加、鹿茸血、鹿茸、维生素B1。辅料为白砂糖、枸椽酸钠、山梨

酸、桔子香精。",,【功能主治】温补肾阳。用于肾阳亏虚引起的腰酸腿软，畏寒肢冷，精冷等。
"【药品名称】
通用名称：五粒回春丸(五粒回春丹)
汉语拼音：Wuli Huichun Wan",【成份】西河柳、金银花、连翘、牛蒡子、蝉蜕、薄荷、桑叶、防风、麻黄、羌活、僵蚕、胆南星、化橘红、苦杏仁(去皮炒)、川贝母、茯苓、赤芍、淡竹叶、甘草、羚羊角粉、麝香、牛黄、冰片、,【性状】本品为朱红色的糊丸，除去外衣显黑黄色；气香，味微甘。,【功能主治】宣肺透表，清热解毒。用于小儿瘟毒引起的头痛高烧，流涕多泪，咳嗽气促，烦躁口渴，麻疹初期，疹出不透。
"【药品名称】
通用名称：五淋丸
汉语拼音：Wulin Wan",【成份】海金沙、关木通、栀子、黄连、石韦、茯苓皮、琥珀、地黄、白芍、川芎、当归、甘草、,【性状】本品为黄褐色的水丸；气微，味苦。,【功能主治】清热利湿，分清止淋。用于下焦湿热引起的尿频尿急，小便涩痛，浑浊不清。
"【药品名称】
通用名称：五灵止痛胶囊
汉语拼音：Wuling Zhitong Jiaonang",【成份】五灵脂、蒲黄、冰片。,【性状】本品为胶囊剂，内容物为棕色粉末；有冰片香气，味甘、凉。,【功能主治】行气止痛，通经活络，祛瘀散结，开窍辟秽。用于因气滞血瘀所致的胸胁痛，胃脘痛，痛经，腹痛，亦可用于扭挫伤。
"【药品名称】
通用名称：五羚丹胶囊
汉语拼音：Wulingdan Jiaonang",【成份】羚羊角、五味子(醋制)、丹参。,【性状】本品为胶囊剂，内容物为棕褐色的粉末；气微香、味微苦。,【功能主治】益气活血，凉肝解毒。用于气阴不足，邪毒蕴结，瘀血阻滞所致的胸胁疼痛，口苦咽干，倦怠纳差等症，以及慢性、迁延性肝炎长期谷丙转氨酶单项不降见上述证候者。
"【药品名称】
通用名称：五仁润肠丸
汉语拼音：Wuren Runchng Wan",【成份】地黄、桃仁、火麻仁、大黄(酒蒸)、肉苁蓉(酒蒸)、陈皮、当归、柏子仁、郁李仁、松子仁。,【性状】本品为棕褐色的大蜜丸；气微，味微苦。,【功能主治】润肠通便。用于老年体弱便秘。
"【药品名称】
通用名称：五味安神颗粒
汉语拼音：Wuwei Anshen Keli",【成份】小麦、葛根、大枣、甘草、银杏叶浸膏。,【性状】本品为棕黄色至棕褐色的颗粒；味甜、微苦涩。,【功能主治】养心安神，健脾和中。适用于心脾两虚证，症见心烦，急燥易怒，心悸，口干，易汗出，睡眠多梦易醒，神疲乏力，食欲不振，肌肉酸楚。
"【药品名称】
通用名称：五味黄连丸
汉语拼音：Wuwei Huanglian wan",【成份】黄连、红花、诃子、渣驯膏、麝香,【性状】本品为红褐色水丸；气微香，味苦。,【功能主治】消炎，止泻，止痛。用于胃肠炎，久泻腹痛，胆偏盛引起的厌食。
"【药品名称】
通用名称：五味清浊散
汉语拼音：wu wei qing zhuo san",【成份】石榴、红花、豆蔻、肉桂、荜茇。,,【功能主治】开郁消食，暖胃。用于食欲不振，消化不良，胃脘冷痛，满闷嗳气，腹胀泄泻。
"【药品名称】
通用名称：五味沙棘含片
汉语拼音：wu wei sha ji han pian",【成份】沙棘膏、木香、白葡萄干、甘草、栀子。,"【性状】本品为棕褐色异型片；气香,味酸而辛凉。",【功能主治】清热利咽。用于风热喉痹（急性咽炎）。
"【药品名称】
通用名称：五味麝香丸
汉语拼音：Wuweishexiang Wan",【成份】麝香、诃子(去核)、黑草乌、木香、藏菖蒲。,【性状】本品为棕褐色的小丸；具麝香特异的香气，味微苦、涩、麻。,【功能主治】消炎，止痛，祛风。用于扁桃体炎，咽峡炎，流行性感冒，炭疽病，风湿性关节炎，神经痛，胃痛，牙痛。
"【药品名称】
通用名称：五味子颗粒（冲剂）
汉语拼音：Wuweizi Keli",【成份】五味子。辅料为蔗糖。,【性状】本品为棕黄色的颗粒；味酸、甜。,【功能主治】敛气生津，补益肺肾。用于头晕，失眠，自汗盗汗，气短口干及神经衰弱。
"【药品名称】
通用名称：五味子糖浆
汉语拼音：Wuweizi Tangjiang",【成份】五味子。,【性状】本品为红棕色或黄棕色粘稠液体；味甜。微酸。,【功能主治】益气补肾，镇静安神。用于神经衰弱，头晕，失眠等症。
"【药品名称】
通用名称：五香伤膏
汉语拼音：Wuxiang Shang Gao",【成份】穿山甲、马钱子、血余炭、地黄、乳香、没药、丁香、山柰、辛夷、冰片、檀香、木香、赤芍、血竭、大黄、当归、肉桂、白芷、红花、桃仁、续断、川芎、玄参、怀牛膝、生川乌、羌活、苦杏仁、,【性状】本品为摊于兽皮上的黑膏药。,【功能主治】　祛风散寒，散瘀消肿。用于气血凝滞，肢节酸疼，腰酸麻木，跌打损伤。
"【药品名称】
通用名称：五芝地仙金髓膏
汉语拼音：Wuzhi Dixian Jinsui Gao",【成份】人参、茯苓、白术、地黄、枸杞子、麦冬、六神曲、葛根、菊花、陈皮、蔓荆子。,【性状】本品为黑褐色稠厚的半流体；味甜。,【功能主治】健脾开胃，滋肾清肝，益气生津，清利头目。用于胁胀脘痞，消化不良，耳鸣目眩，记忆衰退，口干津少，四肢无力。
"【药品名称】
通用名称：五子衍宗口服液
汉语拼音：Wuzi Yanzong Koufuye",【成份】枸杞子、菟丝子(炒)、覆盆子、五味子(醋蒸)、车前子(盐炒)。,【性状】本品为深棕色的液体；味甜、微酸。,【功能主治】补肾益精。用于腰酸腿软，遗精早泄，阳痿不育。
"【药品名称】
通用名称：五子衍宗软胶囊
汉语拼音：wu zi yan zong ruan jiao nang",【成份】枸杞子，菟丝子（炒），覆盆子，车前子（盐炒），南五味子（蒸），辅料为：植物油，蜂蜡、,,【功能主治】补肾益精。用于肾虚腰痛，尿后余沥。
"【药品名称】
通用名称：五子衍宗丸（大蜜丸）
汉语拼音：wu zi yan zong wan(da mi wan)",【成份】枸杞子、菟丝子(炒)、覆盆子、五味子(蒸)、车前子(盐炒)。辅料为,【性状】本品为棕黑色的大蜜丸；味甜，酸、微苦。,【功能主治】补肾益精。用于腰酸腿软，遗精早泄，阳痿不育。
"【药品名称】
通用名称：五子衍宗丸（小蜜丸）
汉语拼音：wu zi yan zong wan(xiao mi wan)",【成份】、同上。,【性状】本品为棕黑色的小蜜丸；味甜，酸、微苦。,【功能主治】同上。
"【药品名称】
通用名称：午时茶
汉语拼音：Wushi Cha",【成份】防风、广藿香、苍术、羌活、紫苏叶、厚朴、柴胡、陈皮、枳实、连翘等19味。,【性状】本品为深棕色的袋装药茶；具茶叶香气，味甘、苦。,【功能主治】解表和中。用于感受风寒，内伤食积，寒热吐泻。
"【药品名称】
通用名称：午时茶颗粒　（冲剂）
汉语拼音：wu shi cha ke li(chong ji)",【成份】苍术、柴胡、羌活、防风、白芷、川芎、广藿香、前胡、连翘、陈皮、山楂、枳实、麦芽(炒)、甘草、桔梗、六神曲(炒)、紫苏叶、厚朴、红茶。辅料为,【性状】本品为棕色的颗粒；气微香，味甜、微苦。,【功能主治】解表和胃。用于感受风寒，恶寒发热，内有食积，或伴有呕吐、泄泻。
"【药品名称】
通用名称：遗尿散
汉语拼音：Yiniao San",【成份】粉萆解、益智仁、朱砂、,【性状】本品为深黄色的粉末；味微辛。,【功能主治】　暖肾，涩尿。用于睡中遗尿。
